home_team,away_team,home_win_prob,draw_prob,away_win_prob,over_2_5_prob,btts_prob,home_cs_prob,away_cs_prob,home_xg,away_xg
Leeds,Ipswich Town,0.7383390848674874,0.15997344089371313,0.10168747423879942,0.6509538083633845,0.5299385898339052,0.4256330352624457,0.08037430505304413,2.53,0.85
Manchester United,Coventry City,0.8400067333015849,0.12595715417450298,0.03403611252391204,0.5305771967888151,0.2809418803207525,0.6959930420189095,0.08585679930545215,2.46,0.36
Newcastle United,Sunderland,0.4881742427449818,0.2552345683623589,0.25659118889265936,0.4991652811210177,0.5326618261530276,0.3354060228414447,0.20378261140311324,1.59,1.09
Nottingham Forest,Brighton,0.3015921349140176,0.27667014504655596,0.42173772003942644,0.4437671297452366,0.5009215962991613,0.2582873049507171,0.3305405019037553,1.11,1.35
Tottenham Hotspur,Arsenal,0.19620981242682856,0.2416093760468689,0.5621808115263025,0.4937114767222226,0.5021439640588231,0.1774133817829717,0.39390377537776233,0.93,1.73
Arsenal,Bournemouth,0.6218430431607362,0.2152634410098118,0.16289351582945194,0.5482013541171687,0.5195405366857643,0.3999774476173471,0.13886270012065954,1.98,0.92
Brighton,Everton,0.4892216544218076,0.2559378296994882,0.25484051587870404,0.49525838791409843,0.529166122863519,0.3389122215786425,0.20493323332338004,1.59,1.08
Coventry City,Aston Villa,0.07093205661971093,0.20088672774524333,0.7281812156350457,0.4074099758501928,0.306130369927679,0.15239556255766823,0.6447579194231002,0.44,1.88
Crystal Palace,Manchester United,0.2755159790940161,0.24139599496436182,0.48308802594162203,0.5683215372460847,0.5900244034192283,0.17849345017450682,0.28494626397823514,1.26,1.72
Fulham,Brentford,0.28860097861780215,0.2491371563331365,0.46226186504906125,0.5435419914918849,0.5745628101574868,0.19656833331272047,0.2884779105173232,1.24,1.63
Hull City,Tottenham Hotspur,0.15221818783562435,0.19692691319037178,0.6508548989740037,0.6065356265393965,0.5539495034275755,0.11276842357843515,0.3780937883513774,0.97,2.18
