gw,home_team,away_team,home_goals,away_goals,pred_home_xg,pred_away_xg,home_win_prob,draw_prob,away_win_prob,actual_outcome,predicted_outcome,outcome_correct,rps,naive_rps,brier,actual_over_2_5,pred_over_prob,ou_correct,pred_top_score,actual_score,correct_score,xg_mae_home,xg_mae_away
34,Wolverhampton Wanderers,Tottenham Hotspur,0,1,1.253,1.702,0.2829,0.2648,0.4523,away_win,away_win,True,0.19,0.2778,0.08,False,0.5147,False,0-0,0-1,False,0.4926718655346296,0.6419342515043691
34,Arsenal,Newcastle United,1,0,2.021,1.079,0.55,0.2412,0.2088,home_win,home_win,True,0.1231,0.2778,0.2025,False,0.5414,False,0-0,1-0,False,1.3808321587002652,0.20923548163028893
34,Manchester United,Brentford,2,1,1.775,1.601,0.4083,0.2448,0.3469,home_win,home_win,True,0.2352,0.2778,0.3501,True,0.5922,True,1-1,2-1,False,0.07501049145679684,0.3010185386581672
35,Leeds,Burnley,3,1,2.082,1.067,0.5638,0.2358,0.2003,home_win,home_win,True,0.1152,0.2778,0.1903,True,0.5502,True,0-0,3-1,False,0.018454564034265708,0.6370450984853213
35,Brentford,West Ham,3,0,2.321,1.446,0.5362,0.2148,0.249,home_win,home_win,True,0.1386,0.2778,0.2152,True,0.6551,True,1-1,3-0,False,0.0512818888270159,0.6955106859252576
35,Newcastle United,Brighton,3,1,1.498,1.31,0.3971,0.2785,0.3243,home_win,home_win,True,0.2343,0.2778,0.3634,True,0.4862,False,0-0,3-1,False,1.6321296627586435,0.5595916643909087
35,Wolverhampton Wanderers,Sunderland,1,1,1.089,1.223,0.3118,0.3195,0.3688,draw,away_win,False,0.1166,0.1111,0.0972,False,0.3834,True,0-0,1-1,False,0.870715932444746,0.3028392127823346
35,Arsenal,Fulham,3,0,2.168,0.885,0.6167,0.2271,0.1562,home_win,home_win,True,0.0857,0.2778,0.1469,True,0.5316,True,1-0,3-0,False,1.9217310679223836,0.18474238470619586
35,Bournemouth,Crystal Palace,3,0,1.548,1.296,0.4111,0.2753,0.3136,home_win,home_win,True,0.2226,0.2778,0.3468,True,0.4933,False,0-0,3-0,False,0.7516136038966741,0.6155644770373071
35,Manchester United,Liverpool,3,2,1.693,1.791,0.363,0.2399,0.3972,home_win,away_win,False,0.2818,0.2778,0.4058,True,0.6107,True,1-1,3-2,False,0.8672232552487074,0.7611791278337214
35,Aston Villa,Tottenham Hotspur,1,2,1.776,1.274,0.4641,0.2579,0.2781,away_win,home_win,False,0.3683,0.2778,0.2154,True,0.533,True,0-0,1-2,False,1.1664816341073778,0.15442794358624923
35,Chelsea,Nottingham Forest,1,3,1.719,1.259,0.4547,0.2631,0.2822,away_win,home_win,False,0.361,0.2778,0.2068,True,0.5192,True,0-0,1-3,False,0.45130255733101876,1.0508290959690896
35,Everton,Manchester City,3,3,0.873,1.996,0.1682,0.2444,0.5874,draw,away_win,False,0.1866,0.1111,0.0283,True,0.4968,False,0-1,3-3,False,0.8169678785231931,0.576238321648622
36,Liverpool,Chelsea,1,1,2.084,1.667,0.4567,0.225,0.3183,draw,home_win,False,0.1549,0.1111,0.2086,False,0.6535,False,1-1,1-1,True,1.4638459392021432,1.0674066325517875
36,Brighton,Wolverhampton Wanderers,3,0,1.827,0.786,0.5724,0.2635,0.1641,home_win,home_win,True,0.1049,0.2778,0.1828,True,0.4454,False,0-0,3-0,False,0.39253231300099034,0.26562584632344655
36,Fulham,Bournemouth,0,1,1.464,1.587,0.3455,0.2632,0.3913,away_win,away_win,True,0.245,0.2778,0.1194,False,0.5335,False,0-0,0-1,False,0.22448124920684331,0.5872242756124844
36,Sunderland,Manchester United,0,0,1.186,1.702,0.2681,0.2674,0.4646,draw,away_win,False,0.1438,0.1111,0.0719,False,0.5018,False,0-0,0-0,True,0.05374528395276945,1.162345032715155
36,Manchester City,Brentford,3,0,2.43,1.098,0.6182,0.2067,0.1751,home_win,home_win,True,0.0882,0.2778,0.1458,True,0.6157,True,2-0,3-0,False,1.9396523706008324,0.42845456726744724
